x,y,reward,collision
11.71,-1.50,5.62,
12.43,-1.29,5.83,
13.18,-1.11,5.65,
13.93,-0.92,5.85,
14.68,-0.71,5.94,
15.45,-0.53,5.94,
16.24,-0.37,6.01,
17.02,-0.20,6.07,
17.83,-0.09,6.09,
18.65,-0.04,6.21,
19.48,0.02,6.27,
20.32,0.01,6.29,
21.16,-0.08,6.45,
22.01,-0.16,6.43,
22.85,-0.33,6.41,
23.68,-0.59,6.54,
24.52,-0.84,6.63,
25.34,-1.13,6.67,
26.19,-1.41,6.61,
27.01,-1.71,6.74,
27.85,-2.01,6.66,
28.69,-2.31,6.61,
29.53,-2.61,6.68,
30.37,-2.93,6.68,
31.18,-3.32,6.69,
31.91,-3.82,6.63,
32.58,-4.43,6.64,
33.26,-5.01,7.00,
34.03,-5.57,7.21,
34.82,-6.11,7.41,
35.61,-6.69,7.50,
36.09,-6.91,0.21,Wall_Low_44
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
-0.00,0.00,0.00,
0.02,0.00,0.48,
0.11,-0.01,0.92,
0.25,-0.04,1.32,
0.45,-0.08,1.79,
0.70,-0.11,2.18,
1.01,-0.16,2.60,
1.37,-0.19,2.76,
1.74,-0.20,2.89,
2.14,-0.26,3.26,
2.59,-0.36,3.69,
3.09,-0.42,4.07,
3.65,-0.43,4.40,
4.26,-0.40,4.83,
4.93,-0.41,5.24,
5.64,-0.45,5.75,
6.43,-0.46,6.24,
7.25,-0.47,6.18,
8.07,-0.45,6.33,
8.90,-0.42,6.17,
9.71,-0.32,6.00,
10.50,-0.17,5.79,
11.28,-0.06,5.94,
12.07,-0.03,5.84,
12.85,-0.06,5.87,
13.64,-0.06,5.81,
14.42,-0.07,5.95,
15.21,-0.12,5.87,
16.00,-0.16,5.89,
16.78,-0.28,6.00,
17.56,-0.47,6.15,
18.37,-0.60,6.18,
19.19,-0.65,6.26,
20.03,-0.64,6.31,
20.87,-0.66,6.24,
21.71,-0.66,6.41,
22.57,-0.63,6.44,
23.43,-0.60,6.49,
24.29,-0.54,6.59,
25.17,-0.51,6.64,
26.05,-0.45,6.51,
26.92,-0.36,6.75,
27.81,-0.31,6.67,
28.70,-0.34,6.66,
29.57,-0.49,6.62,
30.41,-0.75,6.66,
31.25,-1.05,6.60,
32.06,-1.41,6.78,
32.89,-1.73,6.74,
33.74,-2.02,6.75,
34.58,-2.32,6.68,
35.42,-2.61,6.67,
36.26,-2.91,6.59,
37.10,-3.19,6.64,
37.93,-3.50,6.74,
38.76,-3.83,6.73,
39.55,-4.23,6.59,
40.29,-4.74,6.68,
40.94,-5.36,6.82,
41.49,-6.09,6.98,
41.96,-6.91,-1.39,Wall_Low_43
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,-0.00,0.92,
0.25,-0.01,1.35,
0.45,0.02,1.74,
0.70,0.09,2.09,
0.99,0.20,2.59,
1.34,0.27,2.75,
1.70,0.32,2.88,
2.10,0.37,3.32,
2.56,0.45,3.71,
3.06,0.56,4.13,
3.62,0.65,4.50,
4.24,0.73,4.89,
4.91,0.83,5.36,
5.63,0.96,5.92,
6.39,1.19,5.88,
7.15,1.47,6.12,
7.92,1.70,6.06,
8.69,1.90,5.97,
9.42,2.18,5.67,
10.11,2.56,5.73,
10.76,3.00,6.09,
11.45,3.49,6.41,
12.07,4.07,6.51,
12.61,4.76,2.03,Hedge_27
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.46,
0.11,0.02,0.94,
0.25,0.03,1.36,
0.45,0.08,1.75,
0.69,0.17,2.09,
0.97,0.32,2.51,
1.29,0.50,2.85,
1.63,0.67,2.94,
2.00,0.87,3.39,
2.43,1.06,3.81,
2.92,1.26,4.19,
3.47,1.43,4.52,
4.08,1.53,4.80,
4.75,1.56,5.33,
5.48,1.63,5.76,
6.27,1.72,6.35,
7.09,1.74,6.16,
7.91,1.68,6.24,
8.75,1.67,6.06,
9.55,1.65,5.91,
10.33,1.62,5.85,
11.09,1.52,5.54,
11.83,1.35,5.80,
12.59,1.25,5.82,
13.36,1.16,5.80,
14.12,1.05,5.85,
14.90,0.96,5.97,
15.67,0.79,5.88,
16.41,0.52,5.96,
17.11,0.12,5.82,
17.76,-0.35,6.23,
18.41,-0.86,6.16,
18.99,-1.45,6.23,
19.47,-2.13,6.14,
19.87,-2.87,6.45,
19.82,-3.01,-0.99,Car_59
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,0.00,0.92,
0.25,0.01,1.35,
0.45,0.02,1.77,
0.71,0.02,2.20,
1.02,0.04,2.59,
1.38,0.07,2.77,
1.75,0.08,2.88,
2.15,0.14,3.25,
2.58,0.27,3.57,
3.06,0.45,4.06,
3.59,0.62,4.43,
4.18,0.74,4.75,
4.83,0.79,5.02,
5.53,0.76,5.62,
6.30,0.72,5.99,
7.10,0.58,6.17,
7.89,0.35,5.95,
8.66,0.15,6.00,
9.43,-0.02,5.89,
10.19,-0.20,5.70,
10.94,-0.37,5.83,
11.67,-0.60,5.51,
12.37,-0.88,5.85,
13.11,-1.12,5.94,
13.87,-1.34,5.84,
14.81,-1.62,5.92,
15.57,-1.88,5.97,
16.29,-2.20,6.07,
17.01,-2.59,6.06,
17.74,-2.98,6.07,
18.42,-3.45,6.30,
19.03,-4.02,6.33,
19.05,-4.32,0.27,Car_59
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,0.00,0.92,
0.25,0.00,1.35,
0.45,0.01,1.78,
0.71,0.03,2.18,
1.02,0.05,2.58,
1.38,0.03,2.73,
1.73,-0.04,2.76,
2.10,-0.17,3.11,
2.51,-0.36,3.64,
2.98,-0.56,4.05,
3.49,-0.81,4.48,
4.06,-1.05,4.89,
4.69,-1.29,5.32,
5.39,-1.47,5.69,
6.17,-1.56,6.06,
7.00,-1.54,6.17,
7.82,-1.55,6.32,
8.64,-1.60,5.85,
9.42,-1.72,5.89,
10.17,-1.95,5.69,
10.85,-2.29,5.72,
11.47,-2.73,5.62,
12.05,-3.23,5.68,
12.62,-3.74,5.84,
13.13,-4.36,5.80,
13.56,-5.01,6.30,
14.05,-5.70,6.31,
14.56,-6.40,6.66,
15.01,-6.85,-0.74,Wall_Low_42
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.00,0.47,
0.11,-0.03,0.90,
0.24,-0.08,1.29,
0.43,-0.18,1.74,
0.67,-0.30,2.27,
0.97,-0.42,2.65,
1.31,-0.58,2.89,
1.67,-0.71,3.00,
2.06,-0.86,3.39,
2.51,-1.01,3.79,
2.99,-1.22,4.13,
3.48,-1.51,4.44,
3.95,-1.90,4.77,
4.43,-2.37,5.32,
4.97,-2.86,5.78,
5.56,-3.40,6.36,
6.12,-4.01,6.18,
6.59,-4.69,6.15,
6.98,-5.44,6.38,
7.39,-6.19,6.36,
7.76,-6.66,-1.15,Wall_Low_End_82
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.48,
0.11,0.01,0.92,
0.25,0.04,1.32,
0.45,0.08,1.79,
0.71,0.10,2.21,
1.02,0.13,2.60,
1.37,0.21,2.73,
