x,y,reward,collision
-8.16,37.55,129.83,
-8.28,38.65,130.92,
-8.48,39.96,132.25,
-8.77,41.26,133.59,
-9.07,42.57,134.93,
-9.42,43.63,136.04,
-9.69,44.93,137.37,
-9.77,46.03,138.48,
-9.67,47.12,139.57,
-9.53,48.43,140.89,
-9.26,49.73,142.21,
-9.09,50.82,143.31,
-8.98,51.91,144.42,
-8.81,53.22,145.73,
-8.74,54.32,146.83,
-8.58,55.40,147.93,
-8.19,56.65,149.24,
-7.68,57.61,150.32,
-7.17,58.58,151.42,
-6.62,59.77,152.73,
-6.25,60.80,153.83,
-5.87,61.84,154.93,
-5.56,63.12,156.25,
-5.45,64.21,157.34,
-5.54,65.28,158.42,
-5.88,66.54,159.72,
-6.21,67.58,160.82,
-6.50,68.64,161.92,
-6.90,69.91,163.24,
-7.21,71.19,164.57,
-7.59,72.23,165.67,
-8.10,73.19,166.76,
-8.77,74.33,168.08,
-9.26,75.31,169.18,
-9.75,76.30,170.29,
-10.19,77.55,171.60,
-10.48,78.60,172.70,
-10.77,79.66,173.80,
-10.95,80.96,175.11,
-10.92,82.04,176.19,
-10.84,83.36,177.51,
-10.67,84.44,178.61,
-10.54,85.76,179.93,
-10.52,86.86,181.03,
-10.41,88.18,182.35,
-10.32,89.50,183.68,
-10.26,90.62,184.80,
-10.33,91.72,185.90,
-10.59,93.02,187.23,
-10.75,94.12,188.34,
-10.84,95.44,189.66,
-10.99,96.54,190.77,
-11.08,97.85,192.09,
-11.25,99.17,193.41,
-11.41,100.27,194.53,
-11.67,101.34,195.63,
-12.16,102.56,196.95,
-12.77,103.45,198.02,
-13.52,104.23,199.10,
-14.26,105.03,200.20,
-15.11,106.03,201.51,
-15.74,106.92,202.60,
-16.46,107.76,203.70,
-17.40,108.69,205.03,
-18.08,109.55,206.13,
-18.77,110.68,207.44,
-19.38,111.60,208.55,
-20.09,112.72,209.88,
-20.67,113.91,211.20,
-21.06,114.95,212.31,
-21.51,115.97,213.43,
-21.90,117.23,214.75,
-22.10,118.33,215.86,
-22.27,119.65,217.19,
-22.48,120.75,218.31,
-22.70,121.83,219.42,
-22.99,122.91,220.54,
-23.18,124.01,221.65,
-23.19,125.11,222.75,
-22.91,126.38,224.05,
-22.49,127.38,225.13,
-22.09,128.40,226.23,
-21.71,129.66,227.55,
-21.36,130.70,228.65,
-20.89,131.68,229.74,
-20.15,132.77,231.05,
-19.47,133.64,232.15,
-18.84,134.51,233.22,(null)
-0.00,0.30,135.52,
-0.01,0.58,135.80,
-0.05,1.03,136.25,
-0.04,1.48,136.70,
-0.06,2.05,137.28,
-0.06,2.75,137.97,
0.03,3.41,138.63,
0.19,4.30,139.55,
0.29,5.16,140.41,
0.31,6.31,141.56,
0.48,7.57,142.83,
0.77,8.58,143.88,
1.23,9.50,144.91,
1.85,10.30,145.92,
2.71,11.11,147.10,
3.41,11.80,148.09,
4.29,12.60,149.28,
4.98,13.31,150.27,
6.07,14.19,151.67,
7.10,14.81,152.87,
8.03,15.21,153.88,
9.02,15.44,154.89,
10.04,15.50,155.92,
11.29,15.64,157.18,
12.32,15.91,158.24,
13.33,16.29,159.32,
14.54,16.81,160.64,
15.58,17.18,161.74,
16.61,17.58,162.85,
17.68,17.88,163.96,
18.78,17.99,165.07,
20.10,17.86,166.39,
21.44,17.65,167.74,
22.74,17.35,169.09,
23.85,17.22,170.21,
24.97,17.17,171.32,
26.08,17.07,172.44,
27.19,16.95,173.55,
28.50,16.74,174.88,
29.62,16.69,176.00,
30.95,16.71,177.33,
32.06,16.66,178.44,
33.17,16.64,179.56,
34.51,16.70,180.89,
35.61,16.75,181.99,
36.70,16.93,183.10,
37.92,17.40,184.40,
38.97,18.14,185.69,
39.70,18.92,186.76,
40.30,19.80,187.83,
41.05,20.87,189.13,
41.67,21.77,190.22,
42.24,22.70,191.32,
42.97,23.79,192.63,
43.69,24.60,193.71,
44.70,25.42,195.01,
45.51,26.16,196.11,
46.36,27.17,197.43,
47.05,28.29,198.75,
47.51,29.52,200.06,
47.91,30.77,201.38,
48.47,31.96,202.69,
49.02,32.91,203.78,
49.56,33.87,204.89,
50.16,34.80,205.99,
50.72,35.75,207.10,
51.40,36.91,208.44,
52.05,38.08,209.78,
52.47,39.11,210.89,
52.78,40.17,212.00,
53.02,41.26,213.12,
53.37,42.56,214.46,
53.53,43.67,215.58,
53.55,44.79,216.70,
53.40,45.89,217.81,
53.23,47.21,219.14,
52.99,48.52,220.47,
52.91,49.62,221.57,
53.02,50.71,222.67,
53.38,51.97,223.98,
53.68,53.02,225.07,
54.19,54.23,226.38,
54.89,55.31,227.68,
55.48,56.24,228.78,
56.12,57.14,229.88,
56.83,58.24,231.19,
57.35,59.21,232.30,
58.09,60.30,233.61,
58.87,61.08,234.71,
59.75,61.71,235.80,
60.67,62.30,236.89,
61.74,63.07,238.21,
62.54,63.82,239.30,
63.29,64.62,240.40,
64.05,65.42,241.50,
64.91,66.42,242.82,
65.68,67.21,243.92,
66.57,68.19,245.25,
67.37,68.94,246.34,
68.14,69.72,247.44,
69.10,70.63,248.76,
69.80,71.48,249.86,
70.36,72.42,250.95,
70.88,73.61,252.26,
71.13,74.67,253.35,
71.39,75.96,254.66,
71.45,77.05,255.76,
71.35,78.15,256.85,
71.19,79.46,258.18,
70.93,80.53,259.28,
70.56,81.57,260.38,
70.04,82.79,261.71,
69.65,83.83,262.82,
69.26,85.10,264.15,
68.81,86.12,265.26,
68.17,87.29,266.59,
67.73,88.30,267.70,
67.33,89.57,269.03,
66.98,90.62,270.14,
66.69,91.69,271.25,
66.35,92.75,272.36,
66.13,93.84,273.47,
66.00,94.94,274.58,
65.75,96.02,275.69,
65.39,97.07,276.80,
65.05,98.36,278.13,
64.86,99.45,279.24,
